recipe_name|item_url|rank|cooldown_timer|station|vendor|gold|ingredient_names
Alphoi Brigadier Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Brigadier_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Hopeful Zanadu Pendant'), ('20', 'Perfect Opal'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Alphoi Charger Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Charger_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Crackling Zanadu Pendant'), ('20', 'Perfect Amethyst'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Alphoi Commander Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Commander_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Illuminated Zanadu Pendant'), ('20', 'Perfect Peridot'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Alphoi Defender Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Defender_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Freezing Zanadu Pendant'), ('20', 'Perfect Sapphire'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Alphoi Guerilla Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Guerilla_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Verdant Zanadu Pendant'), ('20', 'Perfect Jade'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Alphoi Saboteur Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Saboteur_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Immutable Zanadu Pendant'), ('20', 'Perfect Citrine'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Alphoi Trooper Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Trooper_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Blazing Zanadu Pendant'), ('20', 'Perfect Ruby'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Alphoi Warrior Medallion|http://www.wizard101central.com/wiki/Item:Alphoi_Warrior_Medallion|Visionary Crafter|000:00:30|Equipment Crafting Station|Romar|50,000|[('1', 'Grim Zanadu Pendant'), ('20', 'Perfect Onyx'), ('8', 'Shocked Key'), ('1', 'Pure Aethyr'), ('50', 'Aethyr Dust'), ('7', 'Astral Shard'), ('20', 'Aethyr Ore')]
Amulet of Dragons of Old|http://www.wizard101central.com/wiki/Item:Amulet_of_Dragons_of_Old|Legendary Artisan|036:40:00|Equipment Crafting Station|Koyate Ghostmane|11,355|[('1', 'Skeletal Dragon'), ('7', 'Ghost Fire'), ('8', 'Pristine Vial'), ('15', 'Black Pearl'), ('12', 'Bone')]
Amulet of the Savannah Flame|http://www.wizard101central.com/wiki/Item:Amulet_of_the_Savannah_Flame|Legendary Artisan|036:40:00|Equipment Crafting Station|Koyate Ghostmane|12,180|[('1', 'Efreet'), ('8', 'Ghost Fire'), ('9', 'Pristine Vial'), ('15', 'Fire Blossom'), ('12', 'Leather Straps')]
